,,,,,,,,,,
Year,State,NMFS Name,Pounds,Metric Tons,Dollars,Confidentiality,Collection,Scientific Name,Tsn,Source
2024,ALABAMA,"AMBERJACK, GREATER","3,503",2,"10,492",Public,Commercial,Seriola dumerili,168689,GULFFIN
2024,ALABAMA,"BARRACUDAS, SPHYRAENIDAE (FAMILY) **","6,736",3,"19,262",Public,Commercial,Sphyraenidae,170424,GULFFIN
2024,ALABAMA,BIGEYE,,,,Confidential,Commercial,Priacanthus arenatus,168178,GULFFIN
2024,ALABAMA,BLUEFISH,"50,504",23,"31,003",Public,Commercial,Pomatomus saltatrix,168559,GULFFIN
2024,ALABAMA,BUFFALOFISHES **,"53,573",24,"22,575",Public,Commercial,Ictiobus,163954,GULFFIN
2024,ALABAMA,"BUMPER, ATLANTIC","16,788",8,"8,630",Public,Commercial,Chloroscombrus chrysurus,168670,GULFFIN
2024,ALABAMA,BUTTERFISH,"37,876",17,"21,648",Public,Commercial,Peprilus triacanthus,172567,GULFFIN
2024,ALABAMA,"CARP, COMMON",,,,Confidential,Commercial,Cyprinus carpio,163344,GULFFIN
2024,ALABAMA,"CATFISH, BLUE",,,,Confidential,Commercial,Ictalurus furcatus,163997,GULFFIN
2024,ALABAMA,"CATFISH, CHANNEL",,,,Confidential,Commercial,Ictalurus punctatus,163998,GULFFIN
2024,ALABAMA,"CATFISHES, FORKTAIL **",,,,Confidential,Commercial,Ictalurus,163996,GULFFIN
2024,ALABAMA,"CATFISHES, SEA **","15,182",7,"9,052",Public,Commercial,Ariidae,164157,GULFFIN
2024,ALABAMA,"CHUB, BERMUDA",,,,Confidential,Commercial,Kyphosus sectator,645471,GULFFIN
2024,ALABAMA,COBIA,"1,079",0,"3,755",Public,Commercial,Rachycentron canadum,168566,GULFFIN
2024,ALABAMA,"CRAB, BLUE","1,332,286",604,"1,754,676",Public,Commercial,Callinectes sapidus,98696,GULFFIN
2024,ALABAMA,"CRAB, FLORIDA STONE",,,,Confidential,Commercial,Menippe mercenaria,98811,GULFFIN
2024,ALABAMA,"CRABS, DECAPODA (ORDER) **",,,,Confidential,Commercial,Decapoda,95599,GULFFIN
2024,ALABAMA,"CROAKER, ATLANTIC",,,,Confidential,Commercial,Micropogonias undulatus,169283,GULFFIN
2024,ALABAMA,DOLPHINFISH,190,0,364,Public,Commercial,Coryphaena hippurus,168791,GULFFIN
2024,ALABAMA,"DRUM, BLACK","28,013",13,"21,687",Public,Commercial,Pogonias cromis,169288,GULFFIN
2024,ALABAMA,"DRUM, FRESHWATER",,,,Confidential,Commercial,Aplodinotus grunniens,169364,GULFFIN
2024,ALABAMA,"DRUM, RED",,,,Confidential,Commercial,Sciaenops ocellatus,169290,GULFFIN
2024,ALABAMA,DRUMS **,"1,687",1,"1,531",Public,Commercial,Sciaenidae,169237,GULFFIN
2024,ALABAMA,FLATFISHES **,"20,619",9,"85,578",Public,Commercial,Pleuronectiformes,172702,GULFFIN
